sequence	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	Ref. Lead author	Ref. Publication date [year:mm:dd]	Ref_journal	Cell. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Cell. Area. Measured [cm^2]	Cell. Number of cells per substrate	Cell. Architecture [nip/pin/ ?€?]	Cell. Flexible [TRUE/FALSE]	Cell. Semitransparent [TRUE/FALSE]	Module [TRUE/FALSE]	Module. Number of cells in module	Substrate. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Single crystal [TRUE/FALSE]	Perovskite. Dimension. 0D (Quantum dot) [TRUE/FALSE]	Perovskite. Dimension. 2D [TRUE/FALSE]	Perovskite. Dimension. 2D/3D mixture [TRUE/FALSE]	Perovskite. Dimension. 3D [TRUE/FALSE]	Perovskite. Dimension. 3D with 2D capping layer [TRUE/FALSE]	Perovskite. Dimension. List of layers [Dim.1 | Dim.2 | ?€?]	Perovskite. Composition. Perovskite ABC3 structure [TRUE/FALSE]	Perovskite. Composition. Perovskite inspired structure [TRUE/FALSE]	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite. Composition. Lead free [TRUE/FALSE]	Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV]	Perovskite. Band gap. Graded [TRUE/FALSE | TRUE/FALSE | ...]	Perovskite. Band gap. Estimation basis [Absorption/Composition/Literature/EQE/?€?]	Perovskite. Deposition. Number of deposition steps	Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> ?€?| Agr. 4 | ... ]	Perovskite. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> ?€?| Gas5 | ... ]	Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> ?€?| Sol.5 | ... ]	Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> ?€?| 1 | ... ]	Perovskite. Deposition. Quenching induced crystallisation [TRUE/FALSE]	Perovskite. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> ?€?| T5 | ... ] [deg. C]	Perovskite. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> ?€?| t5 | ... ] [min]	Perovskite. Deposition. Solvent annealing [TRUE/FALSE]	HTL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	HTL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; ?€?| Addt.4 | ... ]	HTL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Backcontact. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Backcontact. Thickness. List [Th.1 | Th.2 | ?€?| Th.n ] [nm]	Backcontact. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Add. Lay. Frontside [TRUE/FALSE]	Add. Lay. Backcontact side [TRUE/FALSE]	Encapsulation [TRUE/FALSE]	JV. Measured [TRUE/FALSE]	JV. Average over N number of cells	JV. Certified values [TRUE/FALSE]	JV. Light. Intensity [mW/cm^2]	JV. Reverse scan. Voc [V]	JV. Reverse scan. Jsc [mA/cm^2]	JV. Reverse scan. FF [number between 0 and 1]	JV. Reverse scan. PCE [%]	JV. Forward scan. Voc [V]	JV. Forward scan. Jsc [mA/cm^2]	JV. Forward scan. FF [number between 0 and 1]	JV. Forward scan. PCE [%]	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
4	2	0	Emre Arkan et al.	2020/2/2	Optical Materials	SLG | ITO | EA-59 | PEDOT:PSS | Perovskite | PC61BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC61BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-59 | PEDOT:PSS	Pd(dppf)Cl2;K2CO3	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.043	17.68	0.7156	13.19	1.042	17.85	0.6671	12.36					buffer
5	2	0	Emre Arkan et al.	2020/2/2	Optical Materials	SLG | ITO | EA-60 | PEDOT:PSS | Perovskite | PC61BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC61BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-60 | PEDOT:PSS	Pd(dppf)Cl2;K2CO3	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.877	18.11	0.7002	11.11	0.862	18.29	0.6841	10.79					buffer
6	3	0	Emre Arkan et al.	2020/3/19	Materials Chemistry and Physics	SLG | ITO | EA-41 | PEDOT:PSS | Perovskite | PC60BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-41 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.019	16.69	0.6986	11.89	1.015	16.94	0.6492	11.16					buffer
7	3	0	Emre Arkan et al.	2020/3/19	Materials Chemistry and Physics	SLG | ITO | EA-46 | PEDOT:PSS | Perovskite | PC60BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-46 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.006	16.37	0.6218	10.24	0.975	16.94	0.5751	9.5					buffer
8	3	0	Emre Arkan et al.	2020/3/19	Materials Chemistry and Physics	SLG | ITO | EA-49 | PEDOT:PSS | Perovskite | PC60BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-49 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.024	17.25	0.6815	12.03	1.007	17.4	0.6533	11.46					buffer
9	3	0	Emre Arkan et al.	2020/3/19	Materials Chemistry and Physics	SLG | ITO | EA-50 | PEDOT:PSS | Perovskite | PC60BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-50 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.035	15.59	0.563	9.09	1.012	16.21	0.4589	7.53					buffer
10	3	0	Emre Arkan et al.	2020/3/19	Materials Chemistry and Physics	SLG | ITO | EA-56 | PEDOT:PSS | Perovskite | PC60BM | Ca | Ag	0.07	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	EA-56 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ca | Ag	20 | 100	Evaporation>>Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.023	15.05	0.5656	8.71	1.006	15.21	0.5256	8.04					buffer
11	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | MeO-2PACZ | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	MeO-2PACZ	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.111	23.25	0.8247	21.29	1.098	23.3	0.8128	20.8					buffer
12	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | Cz-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	Cz-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	22.5	0.82	19	1.03	22.5	0.82	19					buffer
13	4	0	Shuo Zhang et al.	2022/9/9	ACS Materials Letter	SLG | ITO | Cz-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	Cz-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.05	23	0.83	19.7	1.05	23	0.83	19.7					buffer
