Ref_lead_author	Ref_publication_date	Ref_journal	Cell_stack_sequence	Cell_area_measured	Cell_number_of_cells_per_substrate	Cell_architecture	Cell_flexible	Cell_semitransparent	Module	Module_number_of_cells_in_module	Substrate_stack_sequence	ETL_stack_sequence	ETL_deposition_procedure	Perovskite_single_crystal	Perovskite_dimension_0D	Perovskite_dimension_2D	Perovskite_dimension_2D3D_mixture	Perovskite_dimension_3D	Perovskite_dimension_3D_with_2D_capping_layer	Perovskite_dimension_list_of_layers	Perovskite_composition_perovskite_ABC3_structure	Perovskite_composition_perovskite_inspired_structure	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite_composition_leadfree	Perovskite_band_gap	Perovskite_band_gap_graded	Perovskite_band_gap_estimation_basis	Perovskite_deposition_number_of_deposition_steps	Perovskite_deposition_procedure	Perovskite_deposition_aggregation_state_of_reactants	Perovskite_deposition_synthesis_atmosphere	Perovskite_deposition_solvents	Perovskite_deposition_solvents_mixing_ratios	Perovskite_deposition_quenching_induced_crystallisation	Perovskite_deposition_thermal_annealing_temperature	Perovskite_deposition_thermal_annealing_time	Perovskite_deposition_solvent_annealing	HTL_stack_sequence	HTL_additives_compounds	HTL_deposition_procedure	Backcontact_stack_sequence	Backcontact_thickness_list	Backcontact_deposition_procedure	Add_lay_front	Add_lay_back	Encapsulation	JV_measured	JV_average_over_n_number_of_cells	JV_certified_values	JV_light_intensity	JV_reverse_scan_Voc	JV_reverse_scan_Jsc	JV_reverse_scan_FF	JV_reverse_scan_PCE	JV_default_Voc	JV_default_Jsc	JV_default_FF	JV_default_PCE	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnI3	TRUE	TRUE	1.27	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.002	0.22	0.57	0	0.002	0.22	0.57	0	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr0.3I2.7	TRUE	TRUE		FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.12	0.49	0.25	0	0.12	0.49	0.25	0	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr1.5I1.5	TRUE	TRUE		FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.135	3.69	0.26	0.13	0.135	3.69	0.26	0.13	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr2.7I0.3	TRUE	TRUE		FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.227	1.32	0.41	0.12	0.227	1.32	0.41	0.12	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr3	TRUE	TRUE	1.75	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.19	1.57	0.34	0.1	0.19	1.57	0.34	0.1	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnI3	TRUE	TRUE	1.27	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.21	27.67	0.29	1.66	0.21	27.67	0.29	1.66	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBrI2	TRUE	TRUE	1.37	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.289	15.06	0.38	1.67	0.289	15.06	0.38	1.67	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr2I	TRUE	TRUE	1.65	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.311	11.57	0.43	1.56	0.311	11.57	0.43	1.56	Reversed	Reversed	Reversed	Reversed	buffer
Sabba et al.	2015/1/6	The Journal of Physical Chemistry C	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.2	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsSnBr3	TRUE	TRUE	1.75	FALSE		1	Spin-coating	Liquid	N2	DMSO	1	FALSE	100	10	FALSE	Spiro-MeOTAD	Li(CF3SO2)2N; TBP	Spin-coating	Au	90	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.41	3.99	0.58	0.95	0.41	3.99	0.58	0.95	Reversed	Reversed	Reversed	Reversed	buffer
Wang et al.	2017/6/6	Electrochimica Acta	SLG | FTO | TiO2-c | TiO2-nw | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-nw	CBD | Hydrothermal	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Ar	DMF	1	FALSE	110	60	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.8	20.4	0.63	10.3	0.8	20.4	0.63	10.3	Reversed	Reversed	Reversed	Reversed	buffer
